Kingdom Phylum Class Order Family Genus Species NA
149 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
150 Eukaryota Viridiplantae Streptophyta Magnoliopsida Laurales Hernandiaceae Illigera pentaphylla
151 NA NA NA NA NA NA NA NA
152 NA NA NA NA NA NA NA NA
153 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
154 NA NA NA NA NA NA NA NA
155 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Urticaceae Myrianthus arboreus
156 NA NA NA NA NA NA NA NA
157 Eukaryota Viridiplantae Streptophyta Magnoliopsida Myrtales Myrtaceae Eucalyptus grandis
158 Eukaryota Viridiplantae Streptophyta Magnoliopsida Poales Poaceae Sugarcane sp.
159 Eukaryota Viridiplantae Streptophyta Magnoliopsida Fabales Fabaceae NA NA
160 Eukaryota Viridiplantae Streptophyta Magnoliopsida Gentianales Rubiaceae Mitragyna sp.
161 NA NA NA NA NA NA NA NA
162 Eukaryota Viridiplantae Streptophyta Magnoliopsida Asterales Asteraceae Crassocephalum vitellinum
163 NA NA NA NA NA NA NA NA
164 NA NA NA NA NA NA NA NA
165 Eukaryota Viridiplantae Streptophyta Magnoliopsida Celastrales Celastraceae Salacia elegans
166 NA NA NA NA NA NA NA NA
167 Eukaryota Viridiplantae Streptophyta Magnoliopsida Celastrales Celastraceae Salacia elegans
168 Eukaryota Viridiplantae Streptophyta Magnoliopsida Laurales Hernandiaceae Illigera pentaphylla
169 NA NA NA NA NA NA NA NA
170 NA NA NA NA NA NA NA NA
171 Eukaryota Viridiplantae Streptophyta Magnoliopsida Caryophyllales Phytolaccaceae Phytolacca NA
172 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Moraceae NA NA
173 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
174 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
175 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
176 Eukaryota Viridiplantae Streptophyta Magnoliopsida Boraginales Ehretiaceae Ehretia cymosa
177 Eukaryota Viridiplantae Streptophyta Magnoliopsida Caryophyllales Phytolaccaceae Phytolacca NA
178 Eukaryota Viridiplantae Streptophyta Magnoliopsida Asterales Asteraceae Vernonia sp.
179 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Cannabaceae Celtis durandii
180 NA NA NA NA NA NA NA NA
181 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Ulmaceae Chaetacme aristata
182 Eukaryota Viridiplantae Streptophyta Magnoliopsida Arecales Arecaceae Phoenix sp.
183 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Ulmaceae Chaetacme aristata
184 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
185 Eukaryota Viridiplantae Streptophyta Magnoliopsida Laurales Hernandiaceae Illigera pentaphylla
186 Eukaryota Viridiplantae Streptophyta Magnoliopsida Fabales Fabaceae NA NA
187 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Ulmaceae Chaetacme aristata
188 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Moraceae NA NA
189 NA NA NA NA NA NA NA NA
190 Eukaryota Viridiplantae Streptophyta Magnoliopsida Ericales Sapotaceae NA NA
191 Eukaryota Viridiplantae Streptophyta Magnoliopsida Laurales Hernandiaceae Illigera pentaphylla
192 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales NA NA NA
193 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Ulmaceae Chaetacme aristata
194 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Ulmaceae Chaetacme aristata
195 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
196 NA NA NA NA NA NA NA NA
197 NA NA NA NA NA NA NA NA
198 NA NA NA NA NA NA NA NA
199 NA NA NA NA NA NA NA NA
200 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
201 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Ulmaceae Chaetacme aristata
202 Eukaryota Viridiplantae Streptophyta Magnoliopsida Sapindales Rutaceae Clausena sp.
203 NA NA NA NA NA NA NA NA
204 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Urticaceae Myrianthus arboreus
205 NA NA NA NA NA NA NA NA
206 NA NA NA NA NA NA NA NA
207 NA NA NA NA NA NA NA NA
208 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
209 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Moraceae NA NA
210 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales NA NA NA
211 NA NA NA NA NA NA NA NA
212 Eukaryota Viridiplantae Streptophyta Magnoliopsida Sapindales Rutaceae Fagaropsis angolensis
213 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Ulmaceae Chaetacme aristata
214 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
215 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Moraceae NA NA
216 Eukaryota Viridiplantae Streptophyta Magnoliopsida Malpighiales Putranjivaceae Drypetes battiscombei
217 NA NA NA NA NA NA NA NA
218 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Ulmaceae Chaetacme aristata
219 Eukaryota Viridiplantae Streptophyta Magnoliopsida Lamiales Lamiaceae Hoslundia opposita
220 NA NA NA NA NA NA NA NA
221 NA NA NA NA NA NA NA NA
222 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
223 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Ulmaceae Chaetacme aristata
224 NA NA NA NA NA NA NA NA
225 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
226 NA NA NA NA NA NA NA NA
227 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Ulmaceae Chaetacme aristata
228 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
229 NA NA NA NA NA NA NA NA
230 NA NA NA NA NA NA NA NA
231 NA NA NA NA NA NA NA NA
232 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
233 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
234 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
235 NA NA NA NA NA NA NA NA
236 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
237 NA NA NA NA NA NA NA NA
238 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
239 Eukaryota Viridiplantae Streptophyta Magnoliopsida Malvales Malvaceae NA NA
240 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Urticaceae Urera hypsiloides
241 NA NA NA NA NA NA NA NA
242 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
243 NA NA NA NA NA NA NA NA
244 NA NA NA NA NA NA NA NA
245 NA NA NA NA NA NA NA NA
246 NA NA NA NA NA NA NA NA
247 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
248 NA NA NA NA NA NA NA NA
249 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
250 NA NA NA NA NA NA NA NA
251 Eukaryota Viridiplantae Streptophyta Magnoliopsida Malvales Malvaceae Pterygota mildbraedii
252 NA NA NA NA NA NA NA NA
253 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Ulmaceae Chaetacme aristata
254 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
255 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
256 NA NA NA NA NA NA NA NA
257 NA NA NA NA NA NA NA NA
258 Eukaryota Viridiplantae Streptophyta Magnoliopsida Poales Poaceae Sugarcane sp.
259 NA NA NA NA NA NA NA NA
260 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales NA NA NA
261 NA NA NA NA NA NA NA NA
262 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
263 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Rosaceae NA NA
264 NA NA NA NA NA NA NA NA
265 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Moraceae NA NA
266 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Cannabaceae NA NA
267 NA NA NA NA NA NA NA NA
268 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Rosaceae Prunus africana
269 NA NA NA NA NA NA NA NA
270 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Ulmaceae Chaetacme aristata
271 Eukaryota Viridiplantae Streptophyta Magnoliopsida Boraginales NA NA NA
272 NA NA NA NA NA NA NA NA
273 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Moraceae NA NA
274 NA NA NA NA NA NA NA NA
275 NA NA NA NA NA NA NA NA
276 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Ulmaceae Chaetacme aristata
277 NA NA NA NA NA NA NA NA
278 NA NA NA NA NA NA NA NA
279 Eukaryota Viridiplantae Streptophyta Magnoliopsida Malvales Malvaceae NA NA
280 Eukaryota Viridiplantae Streptophyta Magnoliopsida Fabales Fabaceae Acacia hockii
281 NA NA NA NA NA NA NA NA
282 NA NA NA NA NA NA NA NA
283 NA NA NA NA NA NA NA NA
284 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
285 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Ulmaceae Chaetacme aristata
286 NA NA NA NA NA NA NA NA
287 NA NA NA NA NA NA NA NA
288 NA NA NA NA NA NA NA NA
289 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
290 Eukaryota Viridiplantae Streptophyta Magnoliopsida Asterales Asteraceae NA NA
291 NA NA NA NA NA NA NA NA
292 Eukaryota Viridiplantae Streptophyta Magnoliopsida Poales Cyperaceae Cyperus papyrus
293 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Urticaceae NA NA
294 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Ulmaceae Chaetacme aristata
295 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
296 NA NA NA NA NA NA NA NA
297 Eukaryota Viridiplantae Streptophyta Magnoliopsida Laurales Hernandiaceae Illigera pentaphylla
298 NA NA NA NA NA NA NA NA
299 NA NA NA NA NA NA NA NA
300 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Moraceae NA NA
301 NA NA NA NA NA NA NA NA
302 NA NA NA NA NA NA NA NA
303 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
304 NA NA NA NA NA NA NA NA
305 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales NA NA NA
306 Eukaryota Viridiplantae Streptophyta Magnoliopsida Poales Poaceae Sorghum sp.
307 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Ulmaceae Chaetacme aristata
308 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
309 Eukaryota Viridiplantae Streptophyta Magnoliopsida Laurales Hernandiaceae Illigera pentaphylla
310 NA NA NA NA NA NA NA NA
311 Eukaryota Viridiplantae Streptophyta Magnoliopsida Asterales Asteraceae Crassocephalum vitellinum
312 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
313 Eukaryota Viridiplantae Streptophyta Magnoliopsida Malvales Malvaceae Dombeya mukole
314 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
315 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Ulmaceae Chaetacme aristata
316 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
317 Eukaryota Viridiplantae Streptophyta Magnoliopsida Ericales NA NA NA
318 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
319 Eukaryota Viridiplantae Streptophyta Magnoliopsida NA NA NA NA
320 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Urticaceae NA NA
