Kingdom Phylum Class Order Family
208 Magnoliopsida NA NA NA NA
209 Magnoliopsida Rosales Moraceae Ficus sp.
210 Magnoliopsida NA NA NA NA
211 NA NA NA NA NA
212 Magnoliopsida Sapindales Rutaceae Teclea nobilis
213 Magnoliopsida Rosales Ulmaceae Chaetacme aristata
214 Magnoliopsida NA NA NA NA
215 Magnoliopsida Rosales Moraceae NA NA
216 Magnoliopsida Malpighiales NA NA NA
217 NA NA NA NA NA
218 Magnoliopsida Rosales Ulmaceae Chaetacme aristata
219 Magnoliopsida Lamiales Lamiaceae Hoslundia opposita
220 NA NA NA NA NA
221 NA NA NA NA NA
222 Magnoliopsida NA NA NA NA
223 Magnoliopsida Rosales Ulmaceae Chaetacme aristata
224 NA NA NA NA NA
225 Magnoliopsida NA NA NA NA
226 NA NA NA NA NA
227 Magnoliopsida Rosales Ulmaceae Chaetacme aristata
228 Magnoliopsida NA NA NA NA
229 NA NA NA NA NA
230 NA NA NA NA NA
231 NA NA NA NA NA
232 Magnoliopsida NA NA NA NA
233 Magnoliopsida Malvales NA NA NA
234 Magnoliopsida NA NA NA NA
235 NA NA NA NA NA
236 Magnoliopsida Rosales NA NA NA
237 NA NA NA NA NA
238 Magnoliopsida NA NA NA NA
239 Magnoliopsida Malvales Malvaceae Pterygota sp.
240 Magnoliopsida Rosales Urticaceae Urera hypsiloides
241 NA NA NA NA NA
242 Magnoliopsida NA NA NA NA
243 NA NA NA NA NA
244 NA NA NA NA NA
245 NA NA NA NA NA
246 NA NA NA NA NA
247 Magnoliopsida NA NA NA NA
248 NA NA NA NA NA
249 Magnoliopsida NA NA NA NA
250 NA NA NA NA NA
251 Magnoliopsida Malvales Malvaceae Pterygota sp.
252 NA NA NA NA NA
253 Magnoliopsida Rosales Ulmaceae Chaetacme aristata
254 Magnoliopsida NA NA NA NA
255 Magnoliopsida NA NA NA NA
256 NA NA NA NA NA
257 NA NA NA NA NA
258 Magnoliopsida Poales Poaceae Sugarcane sp.
259 NA NA NA NA NA
260 Magnoliopsida Rosales NA NA NA
261 NA NA NA NA NA
262 Magnoliopsida NA NA NA NA
263 Magnoliopsida NA NA NA NA
264 NA NA NA NA NA
265 Magnoliopsida Rosales NA NA NA
